2026-03-26 17:19:54.466 [info] Reading sessions from keychain...
2026-03-26 17:19:57.505 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:34:24.651 [info] Getting sessions for all scopes...
2026-03-26 17:34:24.651 [info] Got 3 sessions for ...
2026-03-26 17:34:24.652 [info] Getting sessions for all scopes...
2026-03-26 17:34:24.652 [info] Got 3 sessions for ...
2026-03-26 17:34:25.061 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.061 [info] Got 3 sessions for ...
2026-03-26 17:34:25.062 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.062 [info] Got 3 sessions for ...
2026-03-26 17:34:25.273 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.273 [info] Got 3 sessions for ...
2026-03-26 17:34:25.285 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.285 [info] Got 3 sessions for ...
2026-03-26 17:34:25.468 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.468 [info] Got 3 sessions for ...
2026-03-26 17:34:25.468 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.468 [info] Got 3 sessions for ...
2026-03-26 17:34:25.643 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.643 [info] Got 3 sessions for ...
2026-03-26 17:34:25.644 [info] Getting sessions for all scopes...
2026-03-26 17:34:25.644 [info] Got 3 sessions for ...
2026-03-26 17:34:27.279 [info] Getting sessions for all scopes...
2026-03-26 17:34:27.279 [info] Got 3 sessions for ...
2026-03-26 17:34:27.280 [info] Getting sessions for all scopes...
2026-03-26 17:34:27.280 [info] Got 3 sessions for ...
2026-03-26 17:34:27.496 [info] Getting sessions for all scopes...
2026-03-26 17:34:27.496 [info] Got 3 sessions for ...
2026-03-26 17:34:27.504 [info] Getting sessions for all scopes...
2026-03-26 17:34:27.504 [info] Got 3 sessions for ...
2026-03-26 17:34:27.667 [info] Getting sessions for all scopes...
2026-03-26 17:34:27.667 [info] Got 3 sessions for ...
2026-03-26 17:34:27.669 [info] Getting sessions for all scopes...
2026-03-26 17:34:27.669 [info] Got 3 sessions for ...
2026-03-26 17:34:29.742 [info] Getting sessions for all scopes...
2026-03-26 17:34:29.742 [info] Got 3 sessions for ...
2026-03-26 17:34:29.743 [info] Getting sessions for all scopes...
2026-03-26 17:34:29.743 [info] Got 3 sessions for ...
2026-03-26 17:34:29.975 [info] Getting sessions for all scopes...
2026-03-26 17:34:29.975 [info] Got 3 sessions for ...
2026-03-26 17:34:29.975 [info] Getting sessions for all scopes...
2026-03-26 17:34:29.975 [info] Got 3 sessions for ...
2026-03-26 17:34:30.157 [info] Getting sessions for all scopes...
2026-03-26 17:34:30.157 [info] Got 3 sessions for ...
2026-03-26 17:34:30.158 [info] Getting sessions for all scopes...
2026-03-26 17:34:30.158 [info] Got 3 sessions for ...
2026-03-26 17:34:30.342 [info] Getting sessions for all scopes...
2026-03-26 17:34:30.342 [info] Got 3 sessions for ...
2026-03-26 17:34:30.343 [info] Getting sessions for all scopes...
2026-03-26 17:34:30.343 [info] Got 3 sessions for ...
2026-03-26 17:34:30.499 [info] Getting sessions for all scopes...
2026-03-26 17:34:30.499 [info] Got 3 sessions for ...
2026-03-26 17:34:30.500 [info] Getting sessions for all scopes...
2026-03-26 17:34:30.500 [info] Got 3 sessions for ...
2026-03-26 17:34:31.850 [info] Getting sessions for all scopes...
2026-03-26 17:34:31.850 [info] Got 3 sessions for ...
2026-03-26 17:34:31.851 [info] Getting sessions for all scopes...
2026-03-26 17:34:31.851 [info] Got 3 sessions for ...
2026-03-26 17:34:32.516 [info] Getting sessions for all scopes...
2026-03-26 17:34:32.516 [info] Got 3 sessions for ...
2026-03-26 17:34:32.517 [info] Getting sessions for all scopes...
2026-03-26 17:34:32.517 [info] Got 3 sessions for ...
2026-03-26 17:35:32.081 [info] Getting sessions for all scopes...
2026-03-26 17:35:32.081 [info] Got 3 sessions for ...
2026-03-26 17:35:32.082 [info] Getting sessions for all scopes...
2026-03-26 17:35:32.082 [info] Got 3 sessions for ...
2026-03-26 17:38:14.210 [info] Getting sessions for all scopes...
2026-03-26 17:38:14.210 [info] Got 3 sessions for ...
2026-03-26 17:38:14.211 [info] Getting sessions for all scopes...
2026-03-26 17:38:14.211 [info] Got 3 sessions for ...
2026-03-26 17:38:22.220 [info] Getting sessions for all scopes...
2026-03-26 17:38:22.220 [info] Got 3 sessions for ...
2026-03-26 17:38:22.268 [info] Getting sessions for all scopes...
2026-03-26 17:38:22.268 [info] Got 3 sessions for ...
2026-03-26 17:38:31.848 [info] Getting sessions for all scopes...
2026-03-26 17:38:31.848 [info] Got 3 sessions for ...
2026-03-26 17:38:31.849 [info] Getting sessions for all scopes...
2026-03-26 17:38:31.849 [info] Got 3 sessions for ...
2026-03-26 17:38:36.486 [info] Getting sessions for all scopes...
2026-03-26 17:38:36.486 [info] Got 3 sessions for ...
2026-03-26 17:38:36.487 [info] Getting sessions for all scopes...
2026-03-26 17:38:36.487 [info] Got 3 sessions for ...
2026-03-26 17:39:14.701 [info] Getting sessions for all scopes...
2026-03-26 17:39:14.701 [info] Got 3 sessions for ...
2026-03-26 17:39:14.702 [info] Getting sessions for all scopes...
2026-03-26 17:39:14.702 [info] Got 3 sessions for ...
2026-03-26 17:39:20.800 [info] Getting sessions for all scopes...
2026-03-26 17:39:20.800 [info] Got 3 sessions for ...
2026-03-26 17:39:20.801 [info] Getting sessions for all scopes...
2026-03-26 17:39:20.801 [info] Got 3 sessions for ...
2026-03-26 17:39:21.393 [info] Getting sessions for all scopes...
2026-03-26 17:39:21.393 [info] Got 3 sessions for ...
2026-03-26 17:39:21.394 [info] Getting sessions for all scopes...
2026-03-26 17:39:21.394 [info] Got 3 sessions for ...
2026-03-26 17:39:22.148 [info] Getting sessions for all scopes...
2026-03-26 17:39:22.149 [info] Got 3 sessions for ...
2026-03-26 17:39:22.150 [info] Getting sessions for all scopes...
2026-03-26 17:39:22.150 [info] Got 3 sessions for ...
2026-03-26 17:39:30.078 [info] Getting sessions for all scopes...
2026-03-26 17:39:30.078 [info] Got 3 sessions for ...
2026-03-26 17:39:30.078 [info] Getting sessions for all scopes...
2026-03-26 17:39:30.079 [info] Got 3 sessions for ...
2026-03-26 17:39:34.802 [info] Getting sessions for all scopes...
2026-03-26 17:39:34.802 [info] Got 3 sessions for ...
2026-03-26 17:39:34.803 [info] Getting sessions for all scopes...
2026-03-26 17:39:34.803 [info] Got 3 sessions for ...
2026-03-26 17:39:42.569 [info] Getting sessions for all scopes...
2026-03-26 17:39:42.570 [info] Got 3 sessions for ...
2026-03-26 17:39:42.571 [info] Getting sessions for all scopes...
2026-03-26 17:39:42.571 [info] Got 3 sessions for ...
2026-03-26 17:39:51.870 [info] Getting sessions for all scopes...
2026-03-26 17:39:51.870 [info] Got 3 sessions for ...
2026-03-26 17:39:51.874 [info] Getting sessions for all scopes...
2026-03-26 17:39:51.874 [info] Got 3 sessions for ...
2026-03-26 17:40:57.299 [info] Getting sessions for all scopes...
2026-03-26 17:40:57.299 [info] Got 3 sessions for ...
2026-03-26 17:40:57.300 [info] Getting sessions for all scopes...
2026-03-26 17:40:57.300 [info] Got 3 sessions for ...
2026-03-26 17:41:02.114 [info] Getting sessions for all scopes...
2026-03-26 17:41:02.114 [info] Got 3 sessions for ...
2026-03-26 17:41:02.116 [info] Getting sessions for all scopes...
2026-03-26 17:41:02.116 [info] Got 3 sessions for ...
2026-03-26 17:41:06.983 [info] Getting sessions for all scopes...
2026-03-26 17:41:06.983 [info] Got 3 sessions for ...
2026-03-26 17:41:06.984 [info] Getting sessions for all scopes...
2026-03-26 17:41:06.984 [info] Got 3 sessions for ...
2026-03-26 17:41:11.668 [info] Getting sessions for all scopes...
2026-03-26 17:41:11.668 [info] Got 3 sessions for ...
2026-03-26 17:41:11.668 [info] Getting sessions for all scopes...
2026-03-26 17:41:11.668 [info] Got 3 sessions for ...
2026-03-26 17:41:16.568 [info] Getting sessions for all scopes...
2026-03-26 17:41:16.568 [info] Got 3 sessions for ...
2026-03-26 17:41:16.569 [info] Getting sessions for all scopes...
2026-03-26 17:41:16.569 [info] Got 3 sessions for ...
2026-03-26 17:41:24.131 [info] Getting sessions for all scopes...
2026-03-26 17:41:24.131 [info] Got 3 sessions for ...
2026-03-26 17:41:24.132 [info] Getting sessions for all scopes...
2026-03-26 17:41:24.132 [info] Got 3 sessions for ...
2026-03-26 17:41:25.141 [info] Getting sessions for all scopes...
2026-03-26 17:41:25.141 [info] Got 3 sessions for ...
2026-03-26 17:41:25.142 [info] Getting sessions for all scopes...
2026-03-26 17:41:25.142 [info] Got 3 sessions for ...
2026-03-26 17:41:29.067 [info] Getting sessions for all scopes...
2026-03-26 17:41:29.067 [info] Got 3 sessions for ...
2026-03-26 17:41:29.070 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:29.070 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:29.981 [info] Getting sessions for all scopes...
2026-03-26 17:41:29.981 [info] Got 3 sessions for ...
2026-03-26 17:41:29.981 [info] Getting sessions for all scopes...
2026-03-26 17:41:29.981 [info] Got 3 sessions for ...
2026-03-26 17:41:29.982 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:29.982 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:30.001 [info] Getting sessions for all scopes...
2026-03-26 17:41:30.001 [info] Got 3 sessions for ...
2026-03-26 17:41:30.007 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:30.007 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:32.737 [info] Getting sessions for all scopes...
2026-03-26 17:41:32.737 [info] Got 3 sessions for ...
2026-03-26 17:41:32.738 [info] Getting sessions for all scopes...
2026-03-26 17:41:32.738 [info] Got 3 sessions for ...
2026-03-26 17:41:40.345 [info] Getting sessions for all scopes...
2026-03-26 17:41:40.345 [info] Got 3 sessions for ...
2026-03-26 17:41:40.347 [info] Getting sessions for all scopes...
2026-03-26 17:41:40.347 [info] Got 3 sessions for ...
2026-03-26 17:41:48.960 [info] Reading sessions from keychain...
2026-03-26 17:41:48.960 [info] Getting sessions for all scopes...
2026-03-26 17:41:50.683 [info] Got stored sessions!
2026-03-26 17:41:50.683 [info] Got 3 verified sessions.
2026-03-26 17:41:50.683 [info] Got 3 sessions for ...
2026-03-26 17:41:50.684 [info] Getting sessions for all scopes...
2026-03-26 17:41:50.684 [info] Got 3 sessions for ...
2026-03-26 17:41:50.779 [info] Getting sessions for all scopes...
2026-03-26 17:41:50.779 [info] Got 3 sessions for ...
2026-03-26 17:41:50.849 [info] Getting sessions for all scopes...
2026-03-26 17:41:50.849 [info] Got 3 sessions for ...
2026-03-26 17:41:50.910 [info] Getting sessions for all scopes...
2026-03-26 17:41:50.910 [info] Got 3 sessions for ...
2026-03-26 17:41:50.910 [info] Getting sessions for all scopes...
2026-03-26 17:41:50.910 [info] Got 3 sessions for ...
2026-03-26 17:41:51.391 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:51.391 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:52.664 [info] Getting sessions for all scopes...
2026-03-26 17:41:52.664 [info] Got 3 sessions for ...
2026-03-26 17:41:52.664 [info] Getting sessions for all scopes...
2026-03-26 17:41:52.664 [info] Got 3 sessions for ...
2026-03-26 17:41:52.664 [info] Getting sessions for all scopes...
2026-03-26 17:41:52.664 [info] Got 3 sessions for ...
2026-03-26 17:41:52.664 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:52.664 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:53.275 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:53.275 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:53.773 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-03-26 17:41:53.775 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-03-26 17:41:53.821 [info] Getting sessions for all scopes...
2026-03-26 17:41:53.821 [info] Got 3 sessions for ...
2026-03-26 17:41:53.821 [info] Getting sessions for all scopes...
2026-03-26 17:41:53.821 [info] Got 3 sessions for ...
2026-03-26 17:41:53.854 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:53.854 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:53.959 [info] Getting sessions for all scopes...
2026-03-26 17:41:53.959 [info] Got 3 sessions for ...
2026-03-26 17:41:53.959 [info] Getting sessions for all scopes...
2026-03-26 17:41:53.959 [info] Got 3 sessions for ...
2026-03-26 17:41:54.015 [info] Getting sessions for all scopes...
2026-03-26 17:41:54.016 [info] Got 3 sessions for ...
2026-03-26 17:41:54.016 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:54.016 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:54.016 [info] Getting sessions for all scopes...
2026-03-26 17:41:54.016 [info] Got 3 sessions for ...
2026-03-26 17:41:54.040 [info] Getting sessions for all scopes...
2026-03-26 17:41:54.040 [info] Got 3 sessions for ...
2026-03-26 17:41:54.043 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:54.043 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:54.717 [info] Getting sessions for all scopes...
2026-03-26 17:41:54.717 [info] Got 3 sessions for ...
2026-03-26 17:41:54.719 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:41:54.719 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:42:04.351 [info] Getting sessions for user:email...
2026-03-26 17:42:04.351 [info] Got 1 sessions for user:email...
2026-03-26 17:42:32.711 [info] Getting sessions for all scopes...
2026-03-26 17:42:32.711 [info] Got 3 sessions for ...
2026-03-26 17:42:32.723 [info] Getting sessions for all scopes...
2026-03-26 17:42:32.723 [info] Got 3 sessions for ...
2026-03-26 17:42:32.929 [info] Getting sessions for all scopes...
2026-03-26 17:42:32.929 [info] Got 3 sessions for ...
2026-03-26 17:47:18.337 [info] Getting sessions for all scopes...
2026-03-26 17:47:18.337 [info] Got 3 sessions for ...
2026-03-26 17:47:18.338 [info] Getting sessions for all scopes...
2026-03-26 17:47:18.338 [info] Got 3 sessions for ...
2026-03-26 17:47:22.248 [info] Getting sessions for all scopes...
2026-03-26 17:47:22.248 [info] Got 3 sessions for ...
2026-03-26 17:47:22.250 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:47:22.250 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:03.041 [info] Getting sessions for all scopes...
2026-03-26 18:15:03.041 [info] Got 3 sessions for ...
2026-03-26 18:15:03.064 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:03.064 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:03.124 [info] Getting sessions for all scopes...
2026-03-26 18:15:03.124 [info] Got 3 sessions for ...
2026-03-26 18:15:03.125 [info] Getting sessions for all scopes...
2026-03-26 18:15:03.125 [info] Got 3 sessions for ...
2026-03-26 18:15:06.685 [info] Getting sessions for all scopes...
2026-03-26 18:15:06.685 [info] Got 3 sessions for ...
2026-03-26 18:15:06.685 [info] Getting sessions for all scopes...
2026-03-26 18:15:06.686 [info] Got 3 sessions for ...
2026-03-26 18:15:11.328 [info] Reading sessions from keychain...
2026-03-26 18:15:11.328 [info] Getting sessions for all scopes...
2026-03-26 18:15:11.378 [info] Got stored sessions!
2026-03-26 18:15:11.378 [info] Got 3 verified sessions.
2026-03-26 18:15:11.378 [info] Got 3 sessions for ...
2026-03-26 18:15:11.382 [info] Getting sessions for all scopes...
2026-03-26 18:15:11.382 [info] Got 3 sessions for ...
2026-03-26 18:15:11.462 [info] Getting sessions for all scopes...
2026-03-26 18:15:11.462 [info] Got 3 sessions for ...
2026-03-26 18:15:12.398 [info] Getting sessions for all scopes...
2026-03-26 18:15:12.398 [info] Got 3 sessions for ...
2026-03-26 18:15:12.409 [info] Getting sessions for user:email...
2026-03-26 18:15:12.409 [info] Got 1 sessions for user:email...
2026-03-26 18:15:12.694 [info] Getting sessions for all scopes...
2026-03-26 18:15:12.694 [info] Got 3 sessions for ...
2026-03-26 18:15:12.694 [info] Getting sessions for all scopes...
2026-03-26 18:15:12.694 [info] Got 3 sessions for ...
2026-03-26 18:15:13.034 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:13.034 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:13.143 [info] Getting sessions for user:email...
2026-03-26 18:15:13.143 [info] Got 1 sessions for user:email...
2026-03-26 18:15:13.178 [info] Getting sessions for all scopes...
2026-03-26 18:15:13.178 [info] Got 3 sessions for ...
2026-03-26 18:15:13.211 [info] Getting sessions for all scopes...
2026-03-26 18:15:13.211 [info] Got 3 sessions for ...
2026-03-26 18:15:13.214 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:13.214 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:13.520 [info] Getting sessions for all scopes...
2026-03-26 18:15:13.520 [info] Got 3 sessions for ...
2026-03-26 18:15:13.521 [info] Getting sessions for all scopes...
2026-03-26 18:15:13.521 [info] Got 3 sessions for ...
2026-03-26 18:15:13.707 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-03-26 18:15:13.708 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-03-26 18:15:13.998 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:13.998 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.056 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.056 [info] Got 3 sessions for ...
2026-03-26 18:15:14.056 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.056 [info] Got 3 sessions for ...
2026-03-26 18:15:14.081 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.081 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.151 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.151 [info] Got 3 sessions for ...
2026-03-26 18:15:14.151 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.151 [info] Got 3 sessions for ...
2026-03-26 18:15:14.164 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.164 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.239 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.239 [info] Got 3 sessions for ...
2026-03-26 18:15:14.245 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.245 [info] Got 3 sessions for ...
2026-03-26 18:15:14.603 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.603 [info] Got 3 sessions for ...
2026-03-26 18:15:14.605 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.605 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.755 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.755 [info] Got 3 sessions for ...
2026-03-26 18:15:14.783 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.783 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.832 [info] Getting sessions for all scopes...
2026-03-26 18:15:14.832 [info] Got 3 sessions for ...
2026-03-26 18:15:14.833 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:14.833 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:15.447 [info] Getting sessions for all scopes...
2026-03-26 18:15:15.448 [info] Got 3 sessions for ...
2026-03-26 18:15:15.449 [info] Getting sessions for all scopes...
2026-03-26 18:15:15.449 [info] Got 3 sessions for ...
2026-03-26 18:15:16.121 [info] Getting sessions for all scopes...
2026-03-26 18:15:16.122 [info] Got 3 sessions for ...
2026-03-26 18:15:16.122 [info] Getting sessions for all scopes...
2026-03-26 18:15:16.122 [info] Got 3 sessions for ...
2026-03-26 18:15:31.837 [info] Getting sessions for all scopes...
2026-03-26 18:15:31.837 [info] Got 3 sessions for ...
2026-03-26 18:15:31.838 [info] Getting sessions for all scopes...
2026-03-26 18:15:31.838 [info] Got 3 sessions for ...
2026-03-26 18:15:33.906 [info] Getting sessions for all scopes...
2026-03-26 18:15:33.906 [info] Got 3 sessions for ...
2026-03-26 18:15:33.907 [info] Getting sessions for all scopes...
2026-03-26 18:15:33.907 [info] Got 3 sessions for ...
2026-03-26 18:15:38.937 [info] Getting sessions for all scopes...
2026-03-26 18:15:38.937 [info] Got 3 sessions for ...
2026-03-26 18:15:38.938 [info] Getting sessions for all scopes...
2026-03-26 18:15:38.938 [info] Got 3 sessions for ...
2026-03-26 18:15:47.475 [info] Reading sessions from keychain...
2026-03-26 18:15:47.475 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.475 [info] Got stored sessions!
2026-03-26 18:15:47.475 [info] Got 3 verified sessions.
2026-03-26 18:15:47.475 [info] Got 3 sessions for ...
2026-03-26 18:15:47.475 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.475 [info] Got 3 sessions for ...
2026-03-26 18:15:47.475 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.475 [info] Got 3 sessions for ...
2026-03-26 18:15:47.475 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.475 [info] Got 3 sessions for ...
2026-03-26 18:15:47.475 [info] Getting sessions for user:email...
2026-03-26 18:15:47.475 [info] Got 1 sessions for user:email...
2026-03-26 18:15:47.475 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.475 [info] Got 3 sessions for ...
2026-03-26 18:15:47.527 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.527 [info] Got 3 sessions for ...
2026-03-26 18:15:47.528 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.528 [info] Got 3 sessions for ...
2026-03-26 18:15:47.624 [info] Getting sessions for all scopes...
2026-03-26 18:15:47.624 [info] Got 3 sessions for ...
2026-03-26 18:15:48.064 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:48.064 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:49.043 [info] Getting sessions for all scopes...
2026-03-26 18:15:49.043 [info] Got 3 sessions for ...
2026-03-26 18:15:49.043 [info] Getting sessions for all scopes...
2026-03-26 18:15:49.043 [info] Got 3 sessions for ...
2026-03-26 18:15:49.043 [info] Getting sessions for all scopes...
2026-03-26 18:15:49.043 [info] Got 3 sessions for ...
2026-03-26 18:15:49.152 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:49.152 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:49.155 [info] Getting sessions for user:email...
2026-03-26 18:15:49.155 [info] Got 1 sessions for user:email...
2026-03-26 18:15:49.886 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:49.886 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:50.258 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-03-26 18:15:50.260 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-03-26 18:15:50.803 [info] Getting sessions for all scopes...
2026-03-26 18:15:50.803 [info] Got 3 sessions for ...
2026-03-26 18:15:50.803 [info] Getting sessions for all scopes...
2026-03-26 18:15:50.803 [info] Got 3 sessions for ...
2026-03-26 18:15:50.833 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:50.833 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 18:15:50.951 [info] Getting sessions for all scopes...
2026-03-26 18:15:50.951 [info] Got 3 sessions for ...
2026-03-26 18:15:50.951 [info] Getting sessions for all scopes...
2026-03-26 18:15:50.951 [info] Got 3 sessions for ...
2026-03-26 18:15:51.051 [info] Getting sessions for all scopes...
2026-03-26 18:15:51.051 [info] Got 3 sessions for ...
2026-03-26 18:15:51.057 [info] Getting sessions for read:user,repo,user:email,workflow...
